gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
FAM13A,2,89,0,['asthma'],1,0,0,115,30.49290722945826
PHEX,1,230,0,['asthma'],1,0,0,558,30.480030480045723
FOXO3,1,437,0,['asthma'],1,1,0,1964,30.259241405357447
ADK,1,274,0,['failure to thrive'],1,0,0,806,30.01042002661238
HMGCL,1,279,0,['dehydration'],1,17,0,838,29.950018029247786
ERVK-13,1,146,0,['asthma'],1,1,0,245,29.899423241997187
CLEC7A,1,208,0,['asthma'],1,0,0,491,29.514606829386683
NOD1,1,160,0,['asthma'],1,0,0,303,29.29873447069273
ST8SIA4,2,201,0,['asthma'],1,1,0,513,29.272165091137467
IL31RA,1,199,0,['bronchiectasis'],1,0,0,467,29.01409979909827
PREP,1,275,0,['asthma'],1,1,0,871,28.970569808690055
LAMP1,1,215,0,['asthma'],1,0,0,545,28.913823239273054
LPCAT3,1,151,0,['asthma'],1,1,0,280,28.864770915425606
DEFA1,1,258,0,['male infertility'],1,1,0,786,28.67773027525815
FDFT1,1,230,0,['asthma'],1,0,0,634,28.594852948423355
FBF1,1,271,0,['asthma'],1,0,0,870,28.58037667761716
TNP2,1,43,0,"['male infertility', 'male infertility']",2,0,0,128,28.107494552165264
PRSS1,2,140,0,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,23,0,1184,27.899433298516627
HSH2D,1,121,0,['asthma'],1,0,0,202,27.65138350790047
DEFB103A,1,123,0,['asthma'],1,0,0,209,27.59940710825638
P2RY2,2,138,0,['asthma'],1,0,0,296,27.55069038228517
HBB,1,220,0,['asthma'],1,0,0,629,27.51210168759705
PZP,1,104,0,['bronchiectasis'],1,0,0,155,27.470101048465462
SLC15A2,1,126,0,['asthma'],1,1,0,223,27.321700831442943
DDX58,1,203,0,['asthma'],1,0,0,551,27.222315229623288
DUOX1,1,120,0,['asthma'],1,0,0,207,27.10687382741972
ADORA1,1,175,0,"['asthma', 'asthma']",2,6,0,1710,26.842621254070433
PRAP1,1,246,0,['asthma'],1,1,0,829,26.673742527252013
SLC9A3R1,3,183,0,['asthma'],1,1,0,574,26.671344682593347
AGTR2,1,261,0,['asthma'],1,0,0,948,26.405012470065298
BTN1A1,1,156,0,['asthma'],1,0,0,358,26.32011784456816
CXCL6,1,167,0,['asthma'],1,0,0,408,26.288417266030706
PSG2,1,258,0,['asthma'],1,1,0,958,25.97606092399979
BCHE,1,397,0,['asthma'],1,0,0,2227,25.873522292393776
NRP1,1,204,0,['asthma'],1,0,0,629,25.59821635280769
PFAS,1,176,0,['asthma'],1,0,0,477,25.54906489445616
RNF31,1,171,0,['asthma'],1,0,0,452,25.540571576614663
GTF2E1,1,274,0,['asthma'],1,0,0,1181,24.792175980319264
PMAIP1,1,183,0,['bronchiectasis'],1,0,0,554,24.599352813534857
CTSB,1,240,0,['asthma'],1,0,0,952,24.307639633206165
CEACAM3,1,200,0,['asthma'],1,1,0,764,22.79260006671128
CPA1,1,62,0,['exocrine pancreatic insufficiency'],1,0,0,92,22.519556718164075
SLC6A14,2,55,0,['male infertility'],1,1,0,103,22.169908758696597
LUM,1,144,0,['asthma'],1,0,0,435,22.15120452862475
TAS2R38,1,165,0,['asthma'],1,0,0,567,22.04792759220492
PRSS58,2,29,0,['exocrine pancreatic insufficiency'],1,0,0,45,21.913466179497938
AKAP4,1,132,0,['male infertility'],1,0,0,389,21.599057391600578
NEDD4L,2,152,0,['asthma'],1,1,0,579,21.444228181023274
SAA2,1,56,0,['bronchiectasis'],1,0,0,86,21.350889094280806
STUB1,1,149,0,['asthma'],1,0,0,512,21.080620914123948
QRSL1,1,131,0,['asthma'],1,0,0,420,20.640286542861478
MRO,1,70,0,['asthma'],1,0,0,137,20.50458378520226
TARDBP,1,209,0,['male infertility'],1,1,0,1049,20.285122067952305
