gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
REN,1,1437,11662,"['asthma', 'asthma', 'asthma', 'dehydration', 'dehydration', 'biliary cirrhosis']",6,4,0,5036,367.02713657619387
PTS,1,1257,5635,"['asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",5,3,1,2713,365.25802673804725
HMOX1,1,744,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,1,0,983,360.7329771079204
RNASE3,1,255,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",11,17,1,597,358.72756934995294
IL33,1,587,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",7,5,0,1261,353.04989167411213
FOXP3,1,590,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,4,0,1692,350.0759795949469
TLR7,1,520,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",8,10,1,1342,347.7708446055752
ELANE,7,750,0,"['asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis']",6,1,0,1809,347.0300430024304
PTEN,1,948,0,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",9,10,1,5674,343.6531120227058
STAT6,1,506,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",9,29,1,1660,342.43837190685406
SLPI,5,715,0,"['asthma', 'asthma', 'asthma', 'chronic lung disease', 'biliary cirrhosis', 'bronchiectasis']",6,4,1,1632,341.3533654412085
PSMB6,2,987,0,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility']",7,7,2,4131,329.6414904477938
CLCA4,2,52,0,"['meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'bronchiectasis', 'biliary cirrhosis']",15,0,0,98,327.28942443491627
VDR,1,655,0,"['failure to thrive', 'failure to thrive', 'hypercalciuria', 'asthma', 'asthma']",5,12,0,930,327.09313559724654
TNFRSF1A,5,574,0,"['asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",7,3,0,1620,325.57149752396936
IL17F,1,355,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",8,18,1,752,320.1736563378786
CXCL10,1,579,0,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",7,1,0,1504,318.94123487437537
CYP3A4,1,1493,11225,"['biliary cirrhosis', 'asthma', 'asthma', 'dehydration']",4,3,0,3372,310.59641857451726
CISH,2,1585,10253,"['dehydration', 'dehydration', 'asthma', 'asthma', 'asthma']",5,5,0,6137,307.3181669868272
GSR,1,1022,0,"['asthma', 'asthma', 'asthma', 'dehydration']",4,4,0,1637,306.0811635506392
TLR6,1,269,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",8,6,1,498,300.9511561592251
GSTP1,1,400,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility']",8,11,1,1116,295.15137966400005
TAC1,1,572,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,7,1,1268,294.7570458671481
IL9,1,551,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",7,4,1,1616,293.56084704170206
IL3,1,561,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",7,7,1,1693,291.91115272772316
PPARG,1,1120,6624,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma']",5,4,0,3388,291.20444625029097
APP,0,1751,12086,"['dehydration', 'bronchiectasis', 'asthma', 'asthma']",4,2,1,5291,289.14234062014015
TLR3,1,639,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,2,1,1663,286.9551141251008
SLC26A4,2,743,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,3,1,1607,286.0000576585771
MUC5AC,3,279,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,0,0,379,285.70074939664534
SLC17A5,1,1062,0,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'asthma', 'asthma']",5,4,0,3176,285.32892327704576
CXCR4,2,929,0,"['bronchiectasis', 'recurrent pneumonia', 'asthma', 'asthma', 'asthma', 'asthma']",6,2,1,3606,284.79610205350366
AKT1,3,2375,22508,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'male infertility']",5,1,0,16153,283.84401624065345
IL18,1,572,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,1,0,1023,272.9458068733353
RHO,1,1153,8528,"['asthma', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,3,0,4131,271.4209562874292
TLR1,1,392,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,8,0,724,268.9238221122248
IL17A,2,613,0,"['asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",5,0,0,1257,267.81033344826454
RELA,0,1435,9680,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,2,0,4175,266.5047212847567
ESR2,1,744,0,"['male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma']",5,3,0,1840,263.66573452994874
C5AR1,2,651,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'chronic lung disease']",6,16,1,2118,262.87579692341563
SLC26A3,3,258,0,"['failure to thrive', 'dehydration', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility']",6,22,0,399,259.5246087683998
ALOX5,1,418,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",8,3,0,1621,255.13115979498536
CD8A,3,415,0,"['bronchiectasis', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",7,5,0,1371,252.38327891291826
CD44,1,993,0,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",5,7,0,3554,252.36753184813585
MUC5B,5,291,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,4,0,594,251.84519054371475
SBDS,2,769,0,"['failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'asthma']",5,43,0,2252,249.39289072297476
PTPRC,1,573,0,"['dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",6,8,1,1783,248.99596025256633
CCK,2,1019,0,"['biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,3,0,2516,248.56585785576812
PTGS2,1,1381,7812,"['asthma', 'asthma', 'asthma', 'asthma']",4,3,0,4580,246.64688618120053
BAX,0,1441,12062,"['asthma', 'male infertility', 'male infertility', 'male infertility']",4,3,1,4955,245.9378737398063
CLCA1,5,103,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,5,1,129,244.23708141472804
ABCC2,1,678,0,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",4,2,1,1197,239.2067369260539
EGF,1,1165,5947,"['chronic lung disease', 'asthma', 'asthma', 'asthma']",4,2,0,3542,236.91624148025724
CCL11,1,343,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,0,0,725,235.98163575539752
CD40LG,1,466,0,"['failure to thrive', 'biliary cirrhosis', 'asthma', 'asthma', 'bronchiectasis']",5,7,0,923,235.01596266755806
ARG1,1,446,0,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma']",5,11,0,861,233.10657639412096
HGS,2,1126,5095,"['male infertility', 'asthma', 'asthma', 'asthma']",4,4,1,3528,231.86368072621747
DNAH5,2,127,0,"['asthma', 'bronchiectasis', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",11,17,0,440,231.2623510215184
CAPS,1,455,0,"['asthma', 'asthma', 'bronchiectasis', 'cor pulmonale']",4,1,0,583,231.09998727096044
PTGDR,1,375,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",7,7,0,1228,230.71766133266507
SCNN1B,6,219,0,"['bronchiectasis', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'bronchiectasis']",5,0,0,330,230.37666785269096
HMGB1,2,611,0,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",5,4,1,1756,226.34717548416262
HLA-DQA1,1,272,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,17,0,503,226.32765354556952
MBL2,2,258,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,4,0,490,226.05767730689388
SMPD1,1,544,0,"['failure to thrive', 'failure to thrive', 'asthma']",3,7,0,512,220.35215068725785
CCL17,1,304,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,5,1,681,217.3515122618789
DNAAF3,1,142,0,"['bronchiectasis', 'bronchiectasis', 'asthma', 'male infertility', 'male infertility', 'bronchiectasis', 'bronchiectasis', 'asthma']",8,2,0,283,216.85109121172832
MTOR,1,1176,7259,"['asthma', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,3,0,6872,214.6023002305911
CCL20,1,449,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,3,0,1045,212.98342141829505
S100A12,2,523,0,"['biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,2,0,1481,211.64770296132406
PDE4A,1,350,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'chronic lung disease']",7,5,1,1287,211.29048119512493
CCL3,1,563,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,1,1,1113,206.7043758890463
CEL,1,459,0,"['exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,8,1,1167,206.5197497252111
PMEL,1,571,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,10,1,1789,206.5179184545913
MAPK3,1,1337,7695,"['asthma', 'asthma', 'asthma']",3,1,0,3471,205.77035096909117
NEUROD1,1,635,0,"['exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'asthma']",5,16,1,2252,204.29776726313816
JAG1,1,446,0,"['failure to thrive', 'exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'asthma']",6,2,1,1628,203.9234090455452
SFTPD,1,248,0,"['asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",5,1,0,361,203.68421052631578
LPO,2,436,0,"['asthma', 'asthma', 'asthma', 'chronic lung disease']",4,4,0,770,197.19719183480393
CHI3L1,1,253,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,2,0,402,196.7587165472306
CDKN1A,0,1390,10585,"['asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",4,3,0,7189,196.7260194315431
TTR,2,1179,6056,"['bronchiectasis', 'asthma', 'asthma']",3,0,0,3016,196.49252066272794
ADRA1D,3,712,0,"['asthma', 'asthma', 'asthma', 'asthma', 'chronic lung disease']",5,6,1,3271,194.95509755890086
CCR5,1,600,0,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'biliary cirrhosis']",6,4,0,3218,193.5571952124767
SCT,2,752,0,"['biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency']",3,1,0,1330,190.5171118950002
SCGB1A1,1,223,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,14,1,490,190.36911514213645
WDTC1,1,1428,10584,"['asthma', 'asthma', 'asthma']",3,1,0,4737,188.03976645435327
SCNN1A,4,183,0,"['bronchiectasis', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'bronchiectasis']",5,0,0,323,186.12077872297283
ITGAM,1,1036,0,"['asthma', 'asthma', 'asthma']",3,4,1,2642,183.53946661742106
FGFR1,1,842,0,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'asthma', 'bronchiectasis']",5,3,0,4850,183.51010534269383
ABCG2,1,642,0,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",4,1,0,1820,183.3973887431394
CYP2E1,2,872,0,"['male infertility', 'asthma', 'asthma']",3,2,0,1939,182.3133449596787
EBP,1,518,0,"['failure to thrive', 'failure to thrive', 'asthma', 'asthma', 'asthma']",5,8,1,1912,181.58357343730026
B3GALNT1,1,584,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,8,1,1560,180.97652489785125
S100A8,1,572,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,5,0,1497,180.50670164477927
PARP9,1,447,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,8,1,938,179.71197045298294
PPARA,1,1129,8036,"['asthma', 'asthma', 'asthma']",3,3,0,3280,178.99022404834864
ABCB1,2,1173,7374,"['biliary cirrhosis', 'biliary cirrhosis', 'male infertility']",3,3,0,3618,178.5042956964609
TUBB4B,1,701,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,16,1,2300,178.32152690161033
LIF,1,600,0,"['asthma', 'asthma', 'asthma', 'male infertility']",4,3,1,1699,178.0735310490325
C3,2,658,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,2,0,2096,177.7114051248551
DNAI1,2,99,0,"['bronchiectasis', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'bronchiectasis', 'bronchiectasis', 'asthma']",9,17,0,329,177.13842405473676
BGLAP,1,314,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,1,0,492,175.28457697934883
SMAD3,1,567,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,14,0,2447,174.96455943310798
SLC4A2,1,156,0,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",5,3,0,205,173.90914364662498
IGF1,1,918,0,"['failure to thrive', 'male infertility', 'asthma']",3,0,0,2311,173.7362778607727
CXCR2,3,355,0,"['asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis']",6,3,1,1611,173.15579648753183
NANOS2,1,262,0,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",5,2,1,563,172.79439830404672
JUN,1,767,0,"['asthma', 'asthma', 'bronchiectasis']",3,0,0,1660,171.63643454304977
NLRP3,2,715,0,"['dehydration', 'asthma', 'asthma']",3,0,0,1493,171.1984958557031
S100A9,1,591,0,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,6,0,1783,170.7969246092361
TLR9,1,386,0,"['asthma', 'asthma', 'asthma', 'bronchiectasis']",4,1,0,775,170.69687904624686
STAT1,1,545,0,"['bronchiectasis', 'asthma', 'asthma', 'bronchiectasis']",4,0,0,1549,169.2187646696817
SLURP1,3,827,0,"['asthma', 'asthma', 'asthma']",3,4,0,2098,168.39166434697512
PIK3CA,0,1210,7508,"['failure to thrive', 'asthma', 'asthma', 'asthma']",4,5,1,7493,167.9718634487626
SST,1,1089,7831,"['asthma', 'asthma', 'exocrine pancreatic insufficiency']",3,2,0,3487,167.49977507058077
DLL1,1,600,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,4,1,1938,166.73208210570147
SFTPC,1,289,0,"['failure to thrive', 'chronic lung disease', 'bronchiectasis', 'asthma']",4,1,0,474,164.8022981282556
DNAH8,1,832,0,"['asthma', 'asthma', 'biliary cirrhosis']",3,4,1,2145,164.05355314155284
IL1R1,1,250,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,3,0,366,163.0850125286668
HR,1,925,0,"['exocrine pancreatic insufficiency', 'asthma', 'asthma']",3,0,0,2759,160.20581294355748
REST,1,616,0,"['bronchiectasis', 'asthma', 'exocrine pancreatic insufficiency']",3,0,0,1289,156.92436645788288
YARS1,1,360,0,"['asthma', 'asthma', 'asthma', 'dehydration']",4,20,0,805,156.4894376607536
GRK2,0,1155,10774,"['asthma', 'asthma', 'asthma']",3,9,1,4431,156.46182775111072
CYBB,1,636,0,"['recurrent pneumonia', 'asthma', 'asthma']",3,14,0,1381,156.45094406897138
CRYGFP,1,435,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,8,1,1180,156.03563261020798
ABCC8,2,372,0,"['dehydration', 'failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,0,0,926,154.58303143266227
TLR5,4,425,0,"['asthma', 'asthma', 'bronchiectasis']",3,0,0,743,153.53275940319583
SFTPB,1,202,0,"['failure to thrive', 'chronic lung disease', 'asthma', 'asthma']",4,0,0,278,152.5789806091947
MRLN,1,662,0,"['asthma', 'asthma', 'asthma']",3,2,0,1604,151.0113536383301
TLR10,1,208,0,"['asthma', 'asthma', 'asthma', 'bronchiectasis']",4,1,0,301,150.78373327142788
CASP3,1,1164,5888,"['male infertility', 'asthma']",2,0,0,2196,150.31529704121988
RHOA,2,721,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,7,0,3549,149.2610369214188
HLA-DRB1,1,243,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",7,19,0,1286,148.15602983253407
PRF1,1,473,0,"['failure to thrive', 'asthma', 'asthma', 'asthma']",4,25,0,1531,148.1292355056751
GGT1,1,288,0,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,2,1,591,147.91967454819292
CSF3,1,449,0,"['asthma', 'asthma', 'bronchiectasis']",3,1,0,791,146.8814506881584
MAPK14,1,729,0,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,1,0,3721,145.37704918032787
OCLN,1,501,0,"['failure to thrive', 'male infertility', 'asthma']",3,0,0,1012,144.56832636557115
MYD88,2,718,0,"['asthma', 'asthma', 'asthma']",3,1,1,2132,144.28162605564435
AGER,2,401,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,4,1,1236,144.26799944350242
TNFRSF10B,1,727,0,"['asthma', 'asthma', 'biliary cirrhosis']",3,8,1,2138,143.8843877050504
TLR8,1,288,0,"['asthma', 'asthma', 'asthma', 'bronchiectasis']",4,2,1,633,142.92816830638614
TFRC,2,670,0,"['failure to thrive', 'asthma', 'asthma']",3,2,0,1902,142.39224715718615
CCND1,0,1103,6910,"['asthma', 'asthma', 'asthma']",3,2,1,4985,140.88330674127104
ATP4A,1,259,0,"['asthma', 'asthma', 'exocrine pancreatic insufficiency', 'bronchiectasis']",4,0,0,525,140.8814699363567
KCNJ11,2,313,0,"['dehydration', 'failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,0,0,833,138.45319394931238
NOD2,2,832,0,"['asthma', 'asthma', 'asthma']",3,2,0,3070,138.39261526870592
H19,2,355,0,"['asthma', 'asthma', 'male infertility', 'chronic lung disease']",4,5,0,1062,138.08619268474848
CXCR1,4,232,0,"['asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'chronic lung disease']",5,4,0,880,137.5367719425014
SFTPA2,1,214,0,"['bronchiectasis', 'asthma', 'asthma', 'bronchiectasis']",4,0,0,383,137.35038382668182
CAV1,1,502,0,"['failure to thrive', 'hypercalciuria', 'asthma']",3,1,1,1144,136.8296884318737
MMP2,1,1315,8167,"['biliary cirrhosis', 'asthma']",2,0,0,3393,136.48194369552027
LCN2,2,484,0,"['asthma', 'asthma', 'hypercalciuria']",3,2,0,1110,136.14809107256224
ATP12A,2,372,0,"['asthma', 'exocrine pancreatic insufficiency', 'bronchiectasis']",3,0,0,686,134.6996659238619
LTA,1,357,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,2,0,1083,133.82371502690063
SCNN1G,5,117,0,"['bronchiectasis', 'failure to thrive', 'dehydration', 'bronchiectasis']",4,0,0,227,133.0101516446344
CALR,1,619,0,"['asthma', 'bronchiectasis', 'biliary cirrhosis']",3,3,0,1814,132.9151585054512
ANXA5,2,251,0,"['asthma', 'asthma', 'asthma', 'male infertility']",4,2,0,602,132.54162512971757
MCOLN1,1,1234,11434,"['asthma', 'dehydration']",2,4,0,3208,131.7815013185673
HPGDS,1,454,0,"['asthma', 'asthma', 'male infertility']",3,0,0,1037,129.6794356364993
ACTB,1,335,0,"['failure to thrive', 'asthma', 'asthma', 'male infertility']",4,1,0,1031,128.93505459191002
GLS2,1,738,0,"['male infertility', 'asthma']",2,1,0,1216,128.70222670138514
PARP1,1,558,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,1,0,2805,128.69543701321112
ELN,1,421,0,"['asthma', 'asthma', 'bronchiectasis']",3,0,0,939,126.58638086732024
GC,1,1027,0,"['asthma', 'asthma']",2,0,0,2424,126.37573632890638
MAPK1,1,2261,17186,"['asthma', 'asthma']",2,4,0,11681,126.07482460369651
ASAH1,2,539,0,"['failure to thrive', 'failure to thrive', 'asthma']",3,5,0,1600,125.775
TGM2,1,497,0,"['asthma', 'asthma', 'asthma']",3,5,1,1355,124.50311278137154
ANXA1,2,433,0,"['asthma', 'asthma', 'asthma']",3,1,0,1075,124.34733424920584
LYZ,1,867,0,"['biliary cirrhosis', 'dehydration']",2,2,0,1793,124.26839779470447
PRTN3,2,398,0,"['biliary cirrhosis', 'asthma', 'bronchiectasis']",3,1,0,927,123.56029148180235
NANOS1,1,453,0,"['asthma', 'asthma', 'asthma']",3,4,0,1142,123.30777136847415
ERVK-2,1,364,0,"['asthma', 'asthma', 'asthma']",3,10,1,772,121.86480660175398
PSMD3,1,616,0,"['asthma', 'asthma', 'asthma']",3,3,0,2179,120.69470776629052
ASL,2,243,0,"['failure to thrive', 'failure to thrive', 'asthma']",3,30,0,409,117.04061736196302
LTB,1,407,0,"['asthma', 'asthma', 'asthma']",3,8,1,1040,116.99576340127088
EPO,1,885,0,"['asthma', 'asthma']",2,1,0,2163,115.46384775632698
HP,3,681,0,"['asthma', 'asthma']",2,0,0,1370,115.25521031020521
CYCS,1,684,0,"['asthma', 'asthma']",2,0,0,1320,114.61032794965415
FPR1,1,772,0,"['asthma', 'asthma']",2,1,0,1681,114.4390243902439
DLC1,1,350,0,"['asthma', 'asthma', 'asthma']",3,2,1,827,113.36130721457751
CCL18,1,270,0,"['asthma', 'asthma', 'asthma']",3,1,0,496,113.1513402768682
RFC4,1,521,0,"['asthma', 'asthma', 'asthma']",3,2,1,1869,111.00590944411104
ATP6V0A1,1,503,0,"['asthma', 'asthma', 'asthma']",3,2,1,1754,110.7190374107088
CLC,1,282,0,"['hypercalciuria', 'asthma', 'asthma']",3,2,1,574,110.52538453756993
RFC1,1,539,0,"['asthma', 'asthma', 'asthma']",3,2,1,2028,110.16287251729744
IL1A,1,430,0,"['asthma', 'asthma']",2,0,0,606,107.24266920871516
ADCY10,1,302,0,"['hypercalciuria', 'biliary cirrhosis', 'male infertility']",3,1,0,702,105.98113039593417
MAPK8,1,1489,10633,"['asthma', 'asthma']",2,1,0,7490,103.92307157897395
GYPC,1,570,0,"['failure to thrive', 'asthma']",2,1,0,1144,102.88835690210037
DDX41,2,790,0,"['asthma', 'asthma']",2,0,0,2247,102.5261697680959
CASP14,1,1264,1729,"['asthma', 'male infertility']",2,0,0,5603,102.11989677758899
NHS,2,487,0,"['asthma', 'asthma']",2,1,0,897,101.56942367704445
EPHX1,2,314,0,"['failure to thrive', 'asthma']",2,0,0,390,101.4764845817834
TIRAP,2,337,0,"['asthma', 'asthma', 'asthma']",3,4,0,1016,100.80077509544518
SI,2,615,0,"['male infertility', 'asthma']",2,0,0,1480,99.03623415536192
RLN2,1,805,0,"['bronchiectasis', 'asthma']",2,0,0,2479,98.21336603667206
GAPDH,1,667,0,"['male infertility', 'asthma']",2,0,0,1727,97.74481979796383
PI3,2,485,0,"['asthma', 'asthma']",2,0,0,984,96.59287202909574
HRAS,1,480,0,"['failure to thrive', 'failure to thrive', 'asthma']",3,71,0,2134,95.4643856221356
HSPA4,2,822,0,"['asthma', 'male infertility']",2,0,0,2804,95.40570327204289
NCF4,1,118,0,"['asthma', 'asthma', 'asthma', 'asthma']",4,3,0,260,95.2586761645121
ABCB11,1,293,0,"['failure to thrive', 'failure to thrive']",2,3,0,365,95.15846912690085
GGCT,1,195,0,"['asthma', 'asthma', 'male infertility']",3,2,0,383,94.27509604175147
LDLR,1,472,0,"['male infertility', 'asthma']",2,1,0,967,93.00045034417433
SLC27A5,1,209,0,"['asthma', 'asthma', 'asthma']",3,8,1,460,92.83085366032324
APOE,1,641,0,"['asthma', 'asthma']",2,1,0,1811,91.785275072008
C4A,1,584,0,"['asthma', 'asthma']",2,0,0,1515,91.56539620499775
AMH,1,524,0,"['male infertility', 'male infertility']",2,1,0,1226,91.50551557200188
TCOF1,2,537,0,"['failure to thrive', 'asthma']",2,0,0,1338,91.36469080808733
FN1,1,489,0,"['asthma', 'asthma']",2,0,0,1085,90.89435808562176
GYPA,1,568,0,"['biliary cirrhosis', 'asthma']",2,1,0,1461,90.73064135844169
PNLIP,1,439,0,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,0,0,886,90.50670005005342
TRPV4,2,298,0,"['asthma', 'asthma', 'asthma']",3,3,0,1016,89.78892571527048
F2,2,572,0,"['exocrine pancreatic insufficiency', 'asthma']",2,0,0,1570,89.64439300621221
BRCA2,1,398,0,"['failure to thrive', 'failure to thrive', 'male infertility']",3,2,0,1678,89.6410003247027
MUC1,2,454,0,"['asthma', 'bronchiectasis']",2,0,0,1009,89.53317981292344
AHSA1,2,923,0,"['asthma', 'asthma']",2,3,0,4014,89.30468831063736
NUP62,1,284,0,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'biliary cirrhosis']",4,5,0,1585,88.61636738110711
CCDC6,1,573,0,"['biliary cirrhosis', 'asthma']",2,1,0,1583,87.9183133186911
MSC,1,715,0,"['asthma', 'asthma']",2,2,0,2450,87.88327137604233
LTB4R,1,141,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma']",5,7,1,679,87.69025182479366
GGTLC3,1,163,0,"['asthma', 'asthma', 'asthma']",3,2,1,324,87.61111111111111
MYC,1,832,0,"['asthma', 'asthma']",2,0,0,3343,87.37660244653719
C5,1,580,0,"['asthma', 'asthma']",2,0,0,1667,86.70326700129736
SFTPA1,1,307,0,"['asthma', 'asthma']",2,0,0,483,86.54399663776377
CELA3B,2,107,0,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",3,1,0,175,86.40267852990935
GGT2,1,166,0,"['asthma', 'asthma', 'asthma']",3,2,1,346,86.23157422350344
SYNPR,1,150,0,"['chronic lung disease', 'asthma', 'asthma']",3,2,0,282,85.75075212125957
FLNC,2,124,0,"['failure to thrive', 'bronchiectasis', 'asthma', 'asthma']",4,0,0,408,85.54874771318467
ERCC8,2,622,0,"['failure to thrive', 'male infertility']",2,1,0,2033,85.43141293335533
