,gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
85,POMC,0,298,"['failure to thrive', 'fever', 'fever', 'fever', 'fever', 'fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'fatigue', 'hypogonadism', 'hypogonadism', 'alopecia']",20,5549,14.457535898458412,0.020202168045023658
94,LEP,0,394,"['decreased activity of gonads', 'decreased testicular size', 'fever', 'fever', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'short stature', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'arthralgia', 'fatigue']",18,5737,10.03066459602872,0.01822151451501839
95,AR,0,461,"['cryptorchidism', 'decreased activity of gonads', 'arthralgia', 'arthralgia', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma']",17,6851,9.278330669780834,0.018067671162255338
96,MAPK1,0,601,"['alopecia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'peripheral neuropathy']",9,11531,9.18793797725123,0.018048681936901755
97,INS,0,526,"['failure to thrive', 'ataxia', 'fever', 'fever', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'fatigue', 'keratitis', 'hypogonadism', 'hypogonadism', 'alopecia', 'papilloma', 'melanoma']",17,9555,9.531335159216072,0.017982999390096573
101,BBS9,0,312,"['decreased activity of gonads', 'decreased activity of gonads', 'cataract', 'ataxia', 'decreased testicular size', 'decreased body height', 'cryptorchidism', 'melanoma', 'melanoma', 'papilloma', 'hypogonadism']",11,3083,8.997443428007378,0.01751395198637438
103,LOX,0,296,"['arthralgia', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'papilloma', 'peripheral neuropathy']",7,2383,8.163646760595254,0.01707921302392933
106,IL6,0,391,"['peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'melanoma', 'fatigue', 'fever', 'fever', 'alopecia', 'hypogonadism', 'papilloma']",13,5945,9.214590960322123,0.016283069545929372
109,COL11A2,0,352,"['arthralgia', 'arthralgia', 'arthralgia', 'decreased body height', 'decreased body height', 'hearing loss, sensorineural', 'hearing loss, sensorineural', 'hearing loss, sensorineural', 'hearing loss, sensorineural', 'hearing loss, sensorineural', 'fatigue', 'peripheral neuropathy']",12,2134,5.982555416905988,0.01563675669890806
118,E2F1,0,365,"['melanoma', 'melanoma', 'melanoma', 'melanoma']",4,2316,5.547001962252291,0.01439919080619966
119,CD40,0,329,"['peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma']",8,3639,7.6005837895269455,0.014312407218476491
121,CISH,0,353,"['fever', 'fever', 'papilloma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'photophobia', 'cataract', 'keratitis']",11,6135,8.992776339085305,0.014082446282043212
126,CAMP,0,372,"['melanoma', 'melanoma', 'melanoma', 'alopecia', 'fever', 'fever', 'papilloma', 'keratitis', 'keratitis', 'cataract', 'ataxia', 'fatigue']",12,10400,10.049145300673507,0.012786209672519314
127,RHO,0,312,"['cataract', 'hearing loss, sensorineural', 'decreased activity of gonads', 'optic atrophy', 'extreme sensitivity of the eyes to light', 'photophobia', 'photophobia', 'melanoma', 'melanoma', 'macule', 'peripheral neuropathy', 'hypogonadism']",12,4142,7.526870947589394,0.012577855060869302
